Nome,Continuidade,Tipo,Espécie,Planeta Natal,Altura,Massa,Nascimento,Morte,Famílias,Pais,Parceiros,Irmãos,Filhos,Mestres,Aprendizes,Afiliação
Bly,Legends,Galactic Empire,Human,Kamino,1.83 meters,80 kilograms,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galactic Republic; Galactic Empire
Passel Argente,Legends,CIS,Koorivar,Kooriva,1.86 meters,N/A,N/A,"19 BBY, Mustafar",new,new,new,new,new,N/A,N/A,Confederacy of Independent Systems; Separatist Council; Corporate Alliance; Lethe Merchandising; Galactic Republic; Galactic Senate
Dooku,Legends,Sith,Human,Serenno,1.93 meters,"80, later 86 kilograms","102 BBY , Serenno","19 BBY , Invisible Hand, over Coruscant",House Dooku,N/A,N/A,Dooku's brother,N/A,Yoda ; Darth Sidious,Qui-Gon Jinn ; Komari Vosa ; Asajj Ventress ; Grievous ; Sev'rance Tann ; Quinlan Vos ; Savage Opress ; Sora Bulq ; Kadrian Sey ; Tol Skorr ; Doppelgänger of Dooku ; Saato ; Artel Darc ; Karoc ; Trenox,Jedi Order; Old Guard; Galactic Republic; Confederacy of Independent Systems
Obi-Wan Kenobi,Legends,Jedi,Human,Stewjon,1.82 meters,"77 kilograms, later 80","57 BBY , Stewjon","0 BBY , DS-1 Orbital Battle Station, Alderaan system",Kenobi family,Obi-Wan Kenobi's father; Obi-Wan Kenobi's mother,N/A,N/A,N/A,Yoda; Qui-Gon Jinn,Anakin Skywalker; Ferus Olin ; Luke Skywalker,Alaris Prime colonists; Jedi Order; Jedi High Council; Old Guard; The Young; Galactic Republic; 212th Attack Battalion
Luke Skywalker,Legends,Jedi,Human,Tatooine,1.72 meters,77 kilograms,"19 BBY, Polis Massa",Between 45 ABY and 137 ABY,Skywalker family; Lars family,Padmé Amidala; Anakin Skywalker,Mara Jade Skywalker,Leia Organa Solo,Ben Skywalker,Obi-Wan Kenobi; Darth Sidious,X2; Ken; Rayf Ysanna; Jem Ysanna; Brakiss; Gantoris; Kyle Katarn; Madurrin; Tionne Solusar; Nichos Marr; Desann; Havet Storm; an orange-skinned Jedi student; a brown-skinned Jedi student; a gray-skinned Jedi student; a Quarren Jedi student; Kenth Hamner; Ben Skywalker; Vestara Khai,Alliance to Restore the Republic; Endor strike team; Jedi Order; Bright Tree Village; Order of the Sith Lords ; Dark Empire ; Saber Squadron; Twin Suns Squadron; Blackmoon Squadron; StealthX wing; Jedi Coalition; Galactic Federation of Free Alliances
Han Solo,Legends,GFFA,Human,Corellia,1.8 meters,80 kilograms,"29 BBY , Corellia",N/A,Solo family,Jonash Suul; Jaina,Bria Tharen ; Leia Organa Solo,N/A,Jacen Solo; Jaina Solo,N/A,N/A,"Imperial Marines; Galactic Empire; Hutt Cartel; Alliance to Restore the Republic; Renegade Squadron; Alliance of Free Planets; New Republic; Bright Tree Village; Independent Shippers Association; Galactic Federation of Free Alliances; Five Worlds, later Confederation; Jedi Coalition"
Padmé Amidala,Legends,Galactic Republic,Human,Naboo,1.65 meters,45 kilograms,"46 BBY, Naboo","19 BBY, Polis Massa",House Naberrie; Skywalker family,Ruwee Naberrie; Jobal Naberrie,Anakin Skywalker,Sola Naberrie,Luke Skywalker; Leia Organa Solo,N/A,N/A,Refugee Relief Movement; Apprentice Legislature; Delegation of 2000; Galactic Empire; Imperial Senate
Yoda,Legends,Jedi,Yoda's species,N/A,0.66 meters,17 kilograms,896 BBY,"4 ABY , Dagobah",N/A,N/A,N/A,N/A,N/A,N'Kata Del Gormo ; Qui-Gon Jinn,Dooku; Mace Windu; Cin Drallig; Ikrit; Qu Rahn; Rahm Kota; Obi-Wan Kenobi; Kit Fisto; Ki-Adi-Mundi; Oppo Rancisis; Luke Skywalker; Vila,Jedi Order; Galactic Republic
Qui-Gon Jinn,Legends,Jedi,Human,Unidentified planet,1.93 meters,88.5 kilograms,92 BBY,32 BBY,N/A,N/A,N/A,N/A,N/A,Dooku; Force Priestesses; A Shaman of the Whills,Feemor; Xanatos; Obi-Wan Kenobi; Anakin Skywalker ; Yoda,Alaris Prime colonists; Jedi Order; Old Guard; Galactic Republic
Nute Gunray,Legends,CIS,Neimoidian,Neimoidia,1.91 meters,90 kilograms,N/A,"19 BBY , Mustafar",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nute hive; Neimoidian Inner Circle; Trade Federation; Order of the Sith Lords; Separatist Council
Leia Organa Solo,Legends,Jedi,Human,Alderaan,1.5 meters,49 kilograms,"19 BBY, Polis Massa","0 ABY, Bedlam ; 2 ABY, Mimban",Skywalker family,Anakin Skywalker; Padmé Amidala; Bail Prestor Organa ; Breha Organa,Han Solo,Luke Skywalker,Jacen Solo; Jaina Solo Fel,Luke Skywalker; Saba Sebatyne,N/A,Galactic Empire; Alliance to Restore the Republic; New Republic; Galactic Federation of Free Alliances; Five Worlds; Jedi Coalition
Boba Fett,Legends,Mandalorian,Human,Kamino,1.83 meters,40 kilograms ; 78.2 kilograms,"31.5 BBY , Kamino",Sometime after 45 ABY,Fett,Jango Fett,Sintas Vel,N/A,Ailyn Vel,Jango Fett; Aurra Sing; Lenovar,Mirta Gev; Jaina Solo Fel,Journeyman Protectors; Jabba Desilijic Tiure's criminal empire; Bounty Hunters' Guild ; Mandalorians; Mandalorian Protectors; Yuuzhan Vong Empire ; Galactic Federation of Free Alliances; Jedi Coalition
Grievous,Legends,CIS,Kaleesh,Kalee,2.16 meters,159 kilograms,By 60 BBY,"19 BBY , Utapau",Grievous's family,Grievous's father,Ronderu lij Kummar; Ten other wives,N/A,Thirty children,Count Dooku,N/A,Kolkpravis; InterGalactic Banking Clan; Confederacy of Independent Systems; Separatist Droid Army
Darth Maul,Legends,Sith,Dathomirian Zabrak,Dathomir; also raised on Mustafar,1.75 meters; 2.13 meters,80 kilograms,"54 BBY , Dathomir","By 0 BBY; 0 BBY,",Maul's family,Kycina,N/A,Savage Opress; Feral,N/A,Darth Sidious,Savage Opress,Nightbrothers; Trade Federation; Shadow Collective; Death Watch
Bail Prestor Organa,Legends,Rebel,Human,Alderaan,1.91 meters,N/A,67 BBY,"0 BBY , Alderaan",Ancient Houses; House of Organa,Mazicia Organa; Organa,Breha Organa,Celly Organa; Rouge Organa; Tia Organa,Leia Organa Solo,N/A,N/A,High Court of Alderaan; Galactic Republic; Delegation of 2000; Galactic Empire; Imperial Senate; Kota's Militia; Alliance to Restore the Republic
Chewbacca,Legends,New Republic,Wookiee,Kashyyyk,2.28 meters,112 kilograms,"200 BBY, Kashyyyk","25 ABY, Sernpidal",Attichitcuk's family,Attichitcuk,Mallatobuck,Kallabow,Lumpawaroo,N/A,N/A,Alaris Prime colonists; Alliance to Restore the Republic; Galactic Republic; New Republic; Han Solo and his family ; Bright Tree Village
Lando Calrissian,Legends,GFFA,Human,Socorro,Between 1.77 and 1.78 meters,79 kilograms,"31 BBY, Socorro",N/A,N/A,"""Mother Calrissian""",Tendra Risant,N/A,"Lando Calrissian, Junior",N/A,N/A,Alliance to Restore the Republic; Raptor Squad; Gold Group; New Republic
Wilhuff Tarkin,Legends,Galactic Empire,Human,Eriadu,1.8 meters,N/A,"64–59 BBY , Eriadu","0 BBY , Death Star I above Yavin Prime",N/A,N/A,Thalassa Tarkin,Gideon Tarkin,Garoche Tarkin,N/A,Natasi Daala ; Gaen Drommel,Tarkin family; Galactic Republic; Republic Outland Regions Security Force; Galactic Empire; Imperial Navy; Battle Station Command; Imperial Department of Military Research; Imperial High Command
Finis Valorum,Legends,Galactic Republic,Human,Coruscant,1.7 meters,N/A,By 87 BBY,N/A,House Valorum,A father,N/A,N/A,N/A,N/A,N/A,Galactic Republic
Kalpana (Supreme Chancellor),Legends,Galactic Republic,N/A,N/A,N/A,N/A,N/A,N/A,Kalpana family,new,new,new,new,N/A,N/A,Galactic Republic; Galactic Senate; Office of the Supreme Chancellor
Darth Bane,Legends,Sith,Human,Apatros; Ciutric IV (adopted),2 meters,N/A,"1026 BBY, Apatros","980 BBY, Ambria",N/A,Hurst,N/A,N/A,N/A,Qordis; Kas'im; Orilltha; Shenayag; Hezzoran; Borthis; Githany,Darth Zannah; Darth Cognus,Outer Rim Oreworks Company; Brotherhood of Darkness; Gloom Walkers; Sith Academy; Order of the Sith Lords
Amanaman,Legends,Criminal,Amani,Maridun,1.88 meters,85 kilograms,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jabba's criminal empire
Bail Antilles,Legends,Galactic Republic,Human,Alderaan,N/A,N/A,N/A,N/A,House of Antilles,N/A,A wife,N/A,N/A,N/A,N/A,Galactic Republic; Internal Activities Committee; Core faction; Alderaan Senatorial Delegation
Tion Medon,Legends,Galactic Republic,Pau'an,Utapau,2.06 meters,80 kilograms,Several centuries before 22 BBY,N/A,Tion Medon's family,N/A,N/A,N/A,N/A,N/A,N/A,Confederacy of Independent Systems; Galactic Republic; Utapauan Committee; Utapaun resistance
Boga,Legends,Pet,Varactyl,Utapau,4 meters at the shoulder/ 15 meters long,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Pau City
Lampay Fay,Legends,Galactic Republic,Pau'an,Utapau,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Republic; Pau City
Jabba Desilijic Tiure,Legends,Hutt Cartel,Hutt,Nal Hutta,3.9 meters long,"1,358 kilograms","600 BBY, Nal Hutta","4 ABY, Tatooine",Desilijic,Zorba Desilijic Tiure,N/A,N/A,Rotta,N/A,N/A,Hutt Cartel; Hutt Ruling Council; Jabba Desilijic Tiure's criminal empire; Shadow Collective
Wedge Antilles,Legends,GFFA,Human,Corellia,1.7 meters,77 kilograms,21 BBY (14),N/A,Antilles family,Jagged Antilles; Zena Antilles,Mala Tinero; Reina Faleur; Qwi Xux,Syal Antilles Fel; Soontir Fel,Syal Antilles; Myri Antilles,N/A,N/A,Alliance to Restore the Republic; Raptor Squad; Alliance of Free Planets; New Republic; Fleet Group Three; Galactic Federation of Free Alliances; Antilles's Rogues; Five Worlds; Jedi Coalition; Rakehell Squadron
Jar Jar Binks,Legends,Galactic Empire,Gungan,Naboo,1.96 meters,66 kilograms,"52 BBY, Naboo",N/A,new,A father; A mother,new,new,new,N/A,N/A,Gungan society; Royal House of Naboo; Galactic Republic; Imperial Senate
Exar Kun,Legends,Sith,Human,N/A,1.9 meters,N/A,N/A,"3996 BBY, Yavin 4 ; 11 ABY, Yavin 4",N/A,N/A,N/A,N/A,N/A,Vodo-Siosk Baas,Ulic Qel-Droma; Jorak Uln ; Kyp Durron,Galactic Republic; Sith Empire
Revan,Legends,Jedi,Human,N/A,N/A,N/A,"c. 3994 BBY, Outer Rim","c. 3642 BBY, the Foundry ; 3637 BBY, Yavin 4; 3626 BBY, mind of Satele Shan",Shan family,N/A,Bastila Shan,N/A,Vaner Shan,Kreia; Zhar Lestin; Dorak; Arren Kae,Meetra Surik ; Darth Malak ; Scourge,Jedi Order; Revanchists; Republic Military; Darth Revan's Sith Empire
Bastila Shan,Legends,Jedi,Human,Talravin,N/A,N/A,"Roughly ten years after Meetra Surik, Talravin",N/A,Shan family,Helena Shan; Unnamed father,Revan,N/A,Vaner Shan,Darth Malak,N/A,Jedi Order; Jedi strike team; Galactic Republic; Republic Navy; Darth Malak's Sith Empire
Darth Nihilus,Legends,Sith,Human,N/A,N/A,N/A,N/A,"By 3951 BBY ; 3951 BBY, Ravager, over Telos system",new,new,new,new,new,Darth Traya,Visas Marr,Sith; Sith Triumvirate
Darth Malak,Legends,Sith,Human,Quelii,2 meters,N/A,Quelii,"3956 BBY, Star Forge, Lehon system",N/A,N/A,N/A,N/A,N/A,Zhar Lestin ; Darth Revan,Darth Bandon ; Bastila Shan,Jedi Order; Revanchists; Darth Revan's Sith Empire
Gial Ackbar,Legends,GFFA,Mon Calamari,Dac,1.8 meters,83 kilograms,By 41 BBY,"29 ABY, Mon Calamari",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ackbar family; Mon Calamari Guard; Mon Calamari Resistance; Alliance to Restore the Republic; New Republic; Galactic Federation of Free Alliances
Shmi Skywalker Lars,Legends,N/A,Human,Tatooine,1.63 meters,N/A,72 BBY,"22 BBY (13:5 GrS), Tatooine",Skywalker family; Lars family,new,Cliegg Lars,N/A,Anakin Skywalker; Owen Lars,N/A,N/A,Gardulla the Elder's criminal empire
Freedon Nadd,Legends,Sith,Human,Onderon,N/A,N/A,Before 4400 BBY,Centuries before 3998 BBY Yavin 4,N/A,N/A,N/A,N/A,N/A,Matta Tremayne ; Naga Sadow,Ommin's father; Aleema Keto; Satal Keto,Jedi Order; Onderon Royal Family
Maximilian Veers,Legends,Galactic Empire,Human,Denon,1.93 meters,82 kilograms,N/A,"10 ABY, Balmorra",Veers family,N/A,Maximilian Veers's wife,N/A,Zevulon Veers,N/A,N/A,Galactic Empire; Academy of Carida; Thrawn's confederation; Dark Empire
Xizor,Legends,Criminal,Falleen,Falleen,1.83 meters,N/A,"Prior to 100 BBY, Falleen","3 ABY, Falleen's Fist over Coruscant",House Sizhran,Haxim; Xizor's mother,N/A,Xizor's brother; Xizor's sister; Xizor's second sister,N/A,N/A,N/A,Black Sun; Xizor Transport Systems
Mara Jade Skywalker,Legends,Jedi,Human,N/A,1.6 meters,N/A,17 BBY,"40 ABY, Kavan",Skywalker family,N/A,Luke Skywalker,Han Solo ; Leia Organa Solo,Ben Skywalker,Darth Sidious ; Kyle Katarn ; Luke Skywalker,Kyle Katarn; Jaina Solo ; Anakin Solo,Galactic Empire; New Jedi Order; Galactic Federation of Free Alliances
Kendal Ozzel,Legends,Galactic Empire,Human,Carida,1.7 meters,N/A,N/A,"3 ABY (38:6:6), Executor, Hoth system",Ozzel family,N/A,N/A,N/A,N/A,N/A,N/A,Galactic Republic; Republic Navy; 44th Special Operations Division; Galactic Empire; Imperial Navy; Death Squadron
Canderous Ordo,Legends,Mandalorian,Human,Ordo,N/A,N/A,N/A,By 3642 BBY,Clan Ordo,N/A,Veela Ordo,N/A,N/A,N/A,N/A,Mandalorians; Lost Jedi
Oppo Rancisis,Legends,Jedi,Thisspiasian,Thisspias,1.38 meters,N/A,206 BBY,"19 BBY , Saleucami",N/A,N/A,N/A,N/A,N/A,Yaddle,N/A,Jedi Order; Galactic Republic
Poggle the Lesser,Legends,CIS,Geonosian,Geonosis,1.83 meters,80 kilograms,N/A,"19 BBY , Mustafar",new,new,new,new,new,N/A,N/A,Geonosian Industries; Confederacy of Independent Systems; Techno Union
Saesee Tiin,Legends,Jedi,Iktotchi,Iktotch,1.88 meters,N/A,Prior to 44 BBY,"19 BBY (16:5:22), Coruscant",N/A,N/A,N/A,N/A,N/A,Omo Bouri,N/A,Jedi Order; Jedi High Council; Galactic Republic
Naga Sadow,Legends,Sith,Human-Sith hybrid,Ziost,1.88 meters,N/A,Centuries before 5000 BBY,"c. 4400 BBY, Yavin 4",N/A,N/A,N/A,N/A,N/A,Simus,Gav Daragon; Freedon Nadd,Sith Empire
Quinlan Vos,Legends,Jedi,Kiffar,Kiffu,1.86 meters,82 kilograms,57 BBY,N/A,Clan Vos,Quian Vos; Pethros Vos,Khaleen Hentz,N/A,Korto Vos,Tholme ; Dooku,Aayla Secura,Jedi Order; Confederacy of Independent Systems; Dark Acolytes
Kit Fisto,Legends,Jedi,Nautolan,Glee Anselm,1.96 meters,87 kilograms,N/A,"19 BBY , Coruscant",Neaed Fisto (uncle),N/A,N/A,N/A,N/A,N/A,Bant Eerin; Nahdar Vebb,Jedi Order; Jedi High Council; Old Guard; Galactic Republic
San Hill,Legends,CIS,Muun,Muunilinst,1.91 meters,N/A,N/A,"19 BBY , Mustafar",N/A,Larsh Hill,N/A,N/A,N/A,N/A,N/A,Galactic Republic; InterGalactic Banking Clan; Confederacy of Independent Systems; Separatist Council
Bao-Dur,Legends,Jedi,Zabrak,Iridonia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Meetra Surik,N/A,Galactic Republic; Lost Jedi; Jedi Order
Darth Sion,Legends,Sith,Human,N/A,N/A,N/A,N/A,"3951 BBY, Malachor V",new,new,new,new,new,Darth Traya,N/A,Sith; Exar Kun's Sith Empire; Darth Revan's Sith Empire; Sith Triumvirate
Darth Plagueis,Legends,Sith,Muun,Mygeeto,N/A,N/A,"Between 147 and 120 BBY, Mygeeto","32 BBY, Coruscant",Damask,Caar Damask; Darth Plagueis's mother,N/A,N/A,N/A,Darth Tenebrous,Darth Sidious (Sith Apprentice); San Hill (Financial protégée),Order of the Sith Lords; Damask Holdings; InterGalactic Banking Clan; Hutt Cartel; Black Sun; Galactic Republic; Galactic Senate; Republic Reserve Administration
Jaina Solo Fel,Legends,Jedi,Human,Coruscant,1.49 meters,N/A,"9 ABY , Coruscant",N/A,House of Organa; House of Solo; Skywalker family; Fel dynasty,Han Solo; Leia Organa Solo,Jagged Fel,Jacen Solo ; Anakin Solo,N/A,Mara Jade Skywalker; Kyp Durron,Danni Quee,New Jedi Order; Twin Suns Squadron; Myrkr strike team; Hardpoint Squadron; Jedi High Council; Galactic Federation of Free Alliances; The Colony; Jedi Coalition; Darkmeld
Anakin Solo,Legends,Jedi,Human,Coruscant,1.73 meters,N/A,"10.5 ABY , Nespis VIII","27 ABY , Baanu Rass, over Myrkr",House of Solo; Skywalker family,Han Solo; Leia Organa Solo,N/A,Jaina Solo Fel; Jacen Solo,new,Luke Skywalker; Ikrit; Mara Jade Skywalker,N/A,New Jedi Order; Myrkr strike team; New Republic
Ben Skywalker,Legends,Jedi,Human,Coruscant,Below average,N/A,"26.5 ABY (61:9), Errant Venture",N/A,Skywalker family,Mara Jade Skywalker; Luke Skywalker,N/A,N/A,N/A,Jacen Solo,N/A,New Jedi Order; The Colony
Romba,Legends,Rebel,Ewok,Endor,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Bright Tree Village; Alliance to Restore the Republic
Jaden Korr,Legends,Jedi,Human,Coruscant,Tall,N/A,Prior to 9 ABY,"41 ABY, Mother",N/A,Jaden Korr's adoptive mother,N/A,N/A,N/A,Kyle Katarn,Marr Idi-Shael,New Jedi Order; Jedi Coalition
Mission Vao,Legends,Galactic Republic,Twi'lek,Taris,N/A,N/A,c. 3970 BBY,N/A,N/A,N/A,N/A,Griff Vao,N/A,N/A,N/A,Hidden Beks; Galactic Republic
Tol Sivron,Legends,Galactic Empire,Twi'lek,Ryloth,N/A,N/A,N/A,"11 ABY, Death Star prototype, The Maw",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galactic Empire; Imperial Department of Military Research
Nawara Ven,Legends,GFFA,Twi'lek,N/A,N/A,N/A,N/A,N/A,new,new,Rhysati Ynr,new,new,N/A,N/A,New Republic; Galactic Federation of Free Alliances
Tal'dira,Legends,New Republic,Twi'lek,Ryloth,2.1 meters,N/A,N/A,"7.5 ABY, before battle of Jussafet Four",new,new,new,new,new,N/A,N/A,Antilles's Rogues; New Republic; Rogue Squadron
Bib Fortuna,Legends,Criminal,Twi'lek,Ryloth,1.8 meters,N/A,Ryloth,N/A,Una Clan,N/A,N/A,N/A,N/A,N/A,N/A,Hutt Cartel; Twi'lek Clan Council; Jabba Desilijic Tiure's criminal empire; B'omarr Order
Orn Free Taa,Legends,Galactic Republic,Twi'lek,Ryloth,1.93 meters,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Republic; Rim Faction
Yarael Poof,Legends,Jedi,Quermian,Quermia,2.64 meters,N/A,N/A,"27 BBY, Coruscant",N/A,N/A,N/A,N/A,N/A,N/A,Roron Corobb,Jedi Order; Jedi High Council
Wicket Wystri Warrick,Legends,Rebel,Ewok,Endor,0.8 meters,20 kilograms,"Circa 8 BBY, Endor",N/A,new,Deej Warrick; Shodu Warrick,Kneesaa a Jari Kintaka,Weechee Warrick; Widdle Warrick; Winda Warrick,new,N/A,N/A,Bright Tree Village; Alliance to Restore the Republic
Skere Kaan,Legends,Sith,Human,Coruscant,N/A,N/A,N/A,"1000 BBY (965BrS), Ruusan",N/A,N/A,N/A,N/A,N/A,N/A,Vulta Daanat,Jedi Order ; Galactic Republic ; New Sith Empire; Brotherhood of Darkness
Ludo Kressh,Legends,Sith,Sith Hybrid,Rhelg,1.88 meters,N/A,N/A,"5000 BBY, over Korriban",N/A,N/A,N/A,N/A,Elcho Kressh,N/A,Skarok-Nur,Sith Empire; Ludo Kressh's faction
Kreia,Legends,N/A,Human,N/A,N/A,N/A,N/A,"3951 BBY, Malachor V",N/A,N/A,N/A,N/A,N/A,N/A,Revan,Jedi Order; Galactic Republic; Sith; Sith Triumvirate
Kyp Durron,Legends,Jedi,Human,Deyer,1.77 meters,N/A,"7 BBY (28), Deyer",N/A,Durron family,Kyp Durron's father; Kyp Durron's mother,N/A,Zeth Durron,N/A,Vima-Da-Boda ; Luke Skywalker ; Exar Kun,Miko Reglia,New Jedi Order; Jedi High Council; New Republic; Sith ; Jedi Coalition
Saelt-Marae,Legends,Criminal,Yarkora,N/A,2.2 meters,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Jabba Desilijic Tiure's criminal empire
Connus Trell,Legends,Galactic Republic,Twi'lek,Ryloth,N/A,N/A,N/A,"32 BBY, Coruscant",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galactic Republic; Galactic Senate; Bando Gora
Bendix Fust,Legends,Criminal,Mordageen,Mordagon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sebolto's drug cartel
Gardulla Besadii the Elder,Legends,Criminal,Hutt,Nal Hutta,3.7 meters (length),N/A,"700 BBY, Nal Hutta",N/A,N/A,N/A,N/A,N/A,Gardulla Besadii the Younger; Decca Besadii Diori,N/A,N/A,Besadii kajidic; Gardulla the Elder's criminal empire; Bando Gora
Komari Vosa,Legends,Dark Jedi,Human,N/A,N/A,N/A,c. 62 BBY,"32 BBY, Kohlma",new,new,new,new,new,Dooku,N/A,Jedi Order; Galactic Republic; Bando Gora
Montross (bounty hunter),Legends,Bounty hunter,Human,N/A,N/A,N/A,N/A,"32 BBY, Kohlma",new,new,new,new,new,N/A,N/A,Mandalorians; True Mandalorians
Bossk,Legends,Bounty hunter,Trandoshan,Trandosha,1.9 meters,113 kilograms,"53 BBY, Trandosha",N/A,N/A,Cradossk,N/A,N/A,N/A,N/A,N/A,Bounty Hunters' Guild; Hutt Cartel; Zann Consortium
Dengar,Legends,Bounty hunter,Human,Corellia,1.8 meters,95 kilograms,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire
Zam Wesell,Legends,Bounty hunter,Clawdite,Zolan,1.68 meters (variable),55 kilograms,N/A,"22 BBY (13:5:16), Coruscant",N/A,N/A,N/A,N/A,Sone,N/A,N/A,Mabari
Owen Lars,Legends,N/A,Human,Ator; Tatooine,1.78 meters,N/A,"52 BBY, Ator","0 BBY (35:3:5 GrS), Tatooine",Lars family,N/A,Beru Whitesun Lars,N/A,N/A,N/A,N/A,Galactic Republic
Cliegg Lars,Legends,N/A,Human,Tatooine,1.83 meters,N/A,"82 BBY, Tatooine","20 BBY, Tatooine",new,new,new,new,new,N/A,N/A,Lars family
Oola,Legends,Hutt Cartel,Twi'lek,Ryloth,1.6 meters,N/A,N/A,"4 ABY (39:3:3 GrS), Tatooine",Ryloth Clan,Oola's father,N/A,Nolaa Tarkona,N/A,N/A,N/A,Jabba Desilijic Tiure's criminal empire
Watto,Legends,Corporate,Toydarian,Toydaria,1.37 meters,N/A,c. 77 BBY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ossiki Confederacy
Beru Whitesun Lars,Legends,N/A,Human,Tatooine,1.65 meters,N/A,47 BBY,"0 BBY (35:3:5 GrS), Tatooine",Whitesun family; Lars family,new,Owen Lars,Dama Whitesun; Haro Whitesun,new,N/A,N/A,N/A
Salacious B. Crumb,Legends,Criminal,Kowakian monkey-lizard,Kowak,0.7 meters,N/A,N/A,"4 ABY, Tatooine",new,new,new,new,new,N/A,N/A,Jabba Desilijic Tiure's criminal empire
Chalmun,Legends,N/A,Wookiee,Kashyyyk,2 meters,N/A,157 BBY,N/A,new,new,new,new,new,N/A,N/A,Chalmun's cantina
Sebolto,Legends,Criminal,Dug,Malastare,N/A,N/A,N/A,"32 BBY, Malastare",new,new,new,new,new,N/A,N/A,Sebolto's drug cartel; Bando Gora
Greedo,Legends,Bounty hunter,Rodian,Rodia,1.73 meters,74 kilograms,"c. 44 BBY, Rodia","0 BBY (35:3:6 GrS), Tatooine",Tetsu Clan,Greedo the Elder; Neela,new,Pqweeduk,new,N/A,N/A,Jabba Desilijic Tiure's criminal empire
Calo Nord,Legends,Bounty hunter,Human,N/A,1.5 meters,N/A,N/A,"3956 BBY, Tatooine",N/A,Father; Mother,N/A,N/A,N/A,N/A,N/A,Exchange; Galactic Republic; Sith Empire
